                   Degree               Volume[m3]            Pressure[kPa]           Temperature[K]        Int. Energy[J/kg]           Density[kg/m3]           Enthalpy[J/kg]          Entropy[J/kg.K]  Dyn. Viscosity[N.s/m^2]       Spec. Heat[J/kg.K]     Therm. Cond[W/(m.K)]                 Mass[kg]    Valve Deflec. mid[mm]    Valve Deflec. tip[mm]
                   0.0000             5.000000E-08             1.007540E+02             3.038574E+02             3.429807E+05             1.155465E+00             4.301813E+05             3.901198E+03             1.866797E-05             1.006511E+03             2.713518E-02             5.777325E-08             0.000000E+00             0.000000E+00
                   0.1800             5.005066E-08             1.064290E+02             3.079632E+02             3.428141E+05             1.204250E+00             4.343020E+05             3.898944E+03             1.891964E-05             1.006764E+03             2.697492E-02             5.959073E-08             0.000000E+00             0.000000E+00
                   0.3600             5.009648E-08             1.064319E+02             3.089744E+02             3.435282E+05             1.200332E+00             4.353201E+05             3.902236E+03             1.896780E-05             1.006807E+03             2.704934E-02             5.944887E-08             0.000000E+00             0.000000E+00
                   0.5400             5.013763E-08             1.064306E+02             3.095709E+02             3.439513E+05             1.197998E+00             4.359207E+05             3.904182E+03             1.899618E-05             1.006833E+03             2.709320E-02             5.938106E-08             0.000000E+00             0.000000E+00
                   0.7200             5.017429E-08             1.064272E+02             3.099218E+02             3.442018E+05             1.196600E+00             4.362739E+05             3.905331E+03             1.901285E-05             1.006848E+03             2.711898E-02             5.935492E-08             0.000000E+00             0.000000E+00
                   0.9000             5.020665E-08             1.064229E+02             3.101279E+02             3.443504E+05             1.195755E+00             4.364815E+05             3.906012E+03             1.902265E-05             1.006857E+03             2.713413E-02             5.935142E-08             0.000000E+00             0.000000E+00
                   1.0800             5.023489E-08             1.064185E+02             3.102492E+02             3.444391E+05             1.195237E+00             4.366036E+05             3.906418E+03             1.902841E-05             1.006862E+03             2.714303E-02             5.935944E-08             0.000000E+00             0.000000E+00
                   1.2600             5.025918E-08             1.064144E+02             3.103208E+02             3.444925E+05             1.194914E+00             4.366758E+05             3.906661E+03             1.903181E-05             1.006865E+03             2.714830E-02             5.937252E-08             0.000000E+00             0.000000E+00
                   1.4400             5.027970E-08             1.064108E+02             3.103637E+02             3.445253E+05             1.194708E+00             4.367189E+05             3.906810E+03             1.903385E-05             1.006867E+03             2.715144E-02             5.938694E-08             0.000000E+00             0.000000E+00
                   1.6200             5.029663E-08             1.064078E+02             3.103900E+02             3.445460E+05             1.194573E+00             4.367454E+05             3.906904E+03             1.903510E-05             1.006868E+03             2.715337E-02             5.940060E-08             0.000000E+00             0.000000E+00
                   1.8000             5.031015E-08             1.064054E+02             3.104068E+02             3.445596E+05             1.194481E+00             4.367623E+05             3.906965E+03             1.903590E-05             1.006869E+03             2.715461E-02             5.941234E-08             0.000000E+00             0.000000E+00
                   1.9800             5.032045E-08             1.064037E+02             3.104184E+02             3.445691E+05             1.194418E+00             4.367740E+05             3.907007E+03             1.903645E-05             1.006869E+03             2.715546E-02             5.942158E-08             0.000000E+00             0.000000E+00
                   2.1600             5.032769E-08             1.064027E+02             3.104272E+02             3.445763E+05             1.194372E+00             4.367829E+05             3.907038E+03             1.903686E-05             1.006870E+03             2.715611E-02             5.942803E-08             0.000000E+00             0.000000E+00
                   2.3400             5.033207E-08             1.064022E+02             3.104346E+02             3.445822E+05             1.194338E+00             4.367904E+05             3.907064E+03             1.903722E-05             1.006870E+03             2.715665E-02             5.943164E-08             0.000000E+00             0.000000E+00
                   2.5200             5.033375E-08             1.064024E+02             3.104415E+02             3.445873E+05             1.194313E+00             4.367973E+05             3.907085E+03             1.903754E-05             1.006870E+03             2.715716E-02             5.943243E-08             0.000000E+00             0.000000E+00
                   2.7000             5.033292E-08             1.064031E+02             3.104484E+02             3.445921E+05             1.194295E+00             4.368042E+05             3.907106E+03             1.903787E-05             1.006871E+03             2.715766E-02             5.943051E-08             0.000000E+00             0.000000E+00
