               Volume[m3]            Pressure[kPa]
             5.000000E-08             1.007757E+02
             5.005066E-08             1.106866E+02
             5.009648E-08             1.107126E+02
             5.013763E-08             1.107131E+02
             5.017429E-08             1.107048E+02
             5.020665E-08             1.106940E+02
             5.023489E-08             1.106834E+02
             5.025918E-08             1.106738E+02
             5.027970E-08             1.106655E+02
             5.029663E-08             1.106588E+02
             5.031015E-08             1.106534E+02
             5.032045E-08             1.106493E+02
             5.032769E-08             1.106466E+02
             5.033207E-08             1.106450E+02
             5.033375E-08             1.106446E+02
             5.033292E-08             1.106452E+02
             5.032977E-08             1.106468E+02
             5.032446E-08             1.106493E+02
             5.031718E-08             1.106526E+02
             5.030811E-08             1.106566E+02
             5.029743E-08             1.106614E+02
             5.028532E-08             1.106667E+02
             5.027195E-08             1.106725E+02
             5.025752E-08             1.106788E+02
             5.024219E-08             1.106855E+02
             5.022615E-08             1.106924E+02
             5.020957E-08             1.106996E+02
             5.019265E-08             1.107069E+02
             5.017555E-08             1.107143E+02
             5.015845E-08             1.107217E+02
             5.014155E-08             1.107289E+02
             5.012501E-08             1.107360E+02
             5.010902E-08             1.107429E+02
             5.009376E-08             1.107494E+02
             5.007940E-08             1.107555E+02
             5.006612E-08             1.107611E+02
             5.005412E-08             1.107662E+02
             5.004355E-08             1.107706E+02
             5.003462E-08             1.107743E+02
             5.002748E-08             1.107772E+02
             5.002233E-08             1.107792E+02
             5.001935E-08             1.107803E+02
             5.001871E-08             1.107803E+02
             5.002059E-08             1.107792E+02
             5.002517E-08             1.107769E+02
             5.003263E-08             1.107733E+02
             5.004316E-08             1.107684E+02
             5.005692E-08             1.107620E+02
             5.007411E-08             1.107542E+02
             5.009489E-08             1.107448E+02
             5.011945E-08             1.107337E+02
             5.014796E-08             1.107209E+02
             5.018061E-08             1.107064E+02
             5.021757E-08             1.106900E+02
             5.025903E-08             1.106717E+02
             5.030516E-08             1.106514E+02
             5.035613E-08             1.106291E+02
             5.041214E-08             1.106048E+02
             5.047335E-08             1.105783E+02
             5.053994E-08             1.105496E+02
             5.061210E-08             1.105187E+02
             5.069000E-08             1.104855E+02
             5.077382E-08             1.104500E+02
             5.086374E-08             1.104122E+02
             5.095993E-08             1.103721E+02
             5.106258E-08             1.103295E+02
             5.117185E-08             1.102845E+02
             5.128793E-08             1.102371E+02
             5.141100E-08             1.101872E+02
             5.154123E-08             1.101350E+02
             5.167880E-08             1.100802E+02
             5.182389E-08             1.100230E+02
             5.197667E-08             1.099634E+02
             5.213732E-08             1.099013E+02
             5.230601E-08             1.098369E+02
             5.248293E-08             1.097700E+02
             5.266825E-08             1.097008E+02
             5.286215E-08             1.096293E+02
             5.306479E-08             1.095555E+02
             5.327637E-08             1.094794E+02
             5.349705E-08             1.094012E+02
             5.372700E-08             1.093208E+02
             5.396642E-08             1.092383E+02
             5.421546E-08             1.091538E+02
             5.447431E-08             1.090673E+02
             5.474313E-08             1.089789E+02
             5.502212E-08             1.088887E+02
             5.531143E-08             1.087968E+02
             5.561124E-08             1.087031E+02
             5.592174E-08             1.086079E+02
             5.624309E-08             1.085112E+02
             5.657546E-08             1.084130E+02
             5.691904E-08             1.083136E+02
