                   Degree               Volume[m3]            Pressure[kPa]           Temperature[K]        Int. Energy[J/kg]           Density[kg/m3]           Enthalpy[J/kg]          Entropy[J/kg.K]  Dyn. Viscosity[N.s/m^2]       Spec. Heat[J/kg.K]     Therm. Cond[W/(m.K)]                 Mass[kg]    Valve Deflec. mid[mm]    Valve Deflec. tip[mm]
                   0.0000             5.000000E-08             1.007757E+02             3.039661E+02             3.430817E+05             1.155300E+00             4.302906E+05             3.901496E+03             1.867284E-05             1.006516E+03             2.714237E-02             5.776500E-08             0.000000E+00             0.000000E+00
                   0.1800             5.005066E-08             9.037966E+01             3.020003E+02             3.474397E+05             1.042849E+00             4.283354E+05             3.926287E+03             1.863204E-05             1.006278E+03             2.652946E-02             5.340071E-08             0.000000E+00             0.000000E+00
                   0.3600             5.009648E-08             9.031840E+01             3.039678E+02             3.488126E+05             1.035381E+00             4.303154E+05             3.933017E+03             1.872645E-05             1.006356E+03             2.667512E-02             5.307206E-08             0.000000E+00             0.000000E+00
                   0.5400             5.013763E-08             9.030573E+01             3.047418E+02             3.493464E+05             1.032600E+00             4.310944E+05             3.935617E+03             1.876352E-05             1.006388E+03             2.673234E-02             5.297371E-08             0.000000E+00             0.000000E+00
                   0.7200             5.017429E-08             9.031119E+01             3.050438E+02             3.495489E+05             1.031638E+00             4.313983E+05             3.936596E+03             1.877797E-05             1.006400E+03             2.675466E-02             5.296203E-08             0.000000E+00             0.000000E+00
                   0.9000             5.020665E-08             9.032223E+01             3.051624E+02             3.496239E+05             1.031363E+00             4.315176E+05             3.936952E+03             1.878365E-05             1.006405E+03             2.676342E-02             5.298057E-08             0.000000E+00             0.000000E+00
                   1.0800             5.023489E-08             9.033439E+01             3.052094E+02             3.496495E+05             1.031342E+00             4.315649E+05             3.937068E+03             1.878590E-05             1.006407E+03             2.676689E-02             5.300780E-08             0.000000E+00             0.000000E+00
                   1.2600             5.025918E-08             9.034574E+01             3.052291E+02             3.496570E+05             1.031405E+00             4.315847E+05             3.937097E+03             1.878684E-05             1.006408E+03             2.676836E-02             5.303528E-08             0.000000E+00             0.000000E+00
                   1.4400             5.027970E-08             9.035569E+01             3.052384E+02             3.496583E+05             1.031487E+00             4.315940E+05             3.937096E+03             1.878729E-05             1.006409E+03             2.676904E-02             5.305999E-08             0.000000E+00             0.000000E+00
                   1.6200             5.029663E-08             9.036411E+01             3.052436E+02             3.496577E+05             1.031566E+00             4.315993E+05             3.937087E+03             1.878754E-05             1.006409E+03             2.676944E-02             5.308089E-08             0.000000E+00             0.000000E+00
                   1.8000             5.031015E-08             9.037096E+01             3.052474E+02             3.496569E+05             1.031631E+00             4.316031E+05             3.937078E+03             1.878772E-05             1.006410E+03             2.676972E-02             5.309773E-08             0.000000E+00             0.000000E+00
                   1.9800             5.032045E-08             9.037629E+01             3.052507E+02             3.496566E+05             1.031681E+00             4.316064E+05             3.937072E+03             1.878788E-05             1.006410E+03             2.676996E-02             5.311053E-08             0.000000E+00             0.000000E+00
                   2.1600             5.032769E-08             9.038015E+01             3.052540E+02             3.496571E+05             1.031714E+00             4.316097E+05             3.937070E+03             1.878804E-05             1.006410E+03             2.677020E-02             5.311945E-08             0.000000E+00             0.000000E+00
                   2.3400             5.033207E-08             9.038264E+01             3.052573E+02             3.496584E+05             1.031731E+00             4.316130E+05             3.937073E+03             1.878820E-05             1.006410E+03             2.677045E-02             5.312470E-08             0.000000E+00             0.000000E+00
                   2.5200             5.033375E-08             9.038384E+01             3.052607E+02             3.496604E+05             1.031733E+00             4.316165E+05             3.937080E+03             1.878836E-05             1.006410E+03             2.677070E-02             5.312647E-08             0.000000E+00             0.000000E+00
                   2.7000             5.033292E-08             9.038382E+01             3.052643E+02             3.496633E+05             1.031721E+00             4.316201E+05             3.937092E+03             1.878853E-05             1.006410E+03             2.677097E-02             5.312501E-08             0.000000E+00             0.000000E+00
                   2.8800             5.032977E-08             9.038269E+01             3.052680E+02             3.496668E+05             1.031695E+00             4.316238E+05             3.937108E+03             1.878871E-05             1.006411E+03             2.677124E-02             5.312055E-08             0.000000E+00             0.000000E+00
                   3.0600             5.032446E-08             9.038051E+01             3.052719E+02             3.496710E+05             1.031657E+00             4.316277E+05             3.937128E+03             1.878889E-05             1.006411E+03             2.677153E-02             5.311330E-08             0.000000E+00             0.000000E+00
                   3.2400             5.031718E-08             9.037737E+01             3.052758E+02             3.496758E+05             1.031608E+00             4.316317E+05             3.937151E+03             1.878908E-05             1.006411E+03             2.677182E-02             5.310352E-08             0.000000E+00             0.000000E+00
                   3.4200             5.030811E-08             9.037336E+01             3.052799E+02             3.496811E+05             1.031548E+00             4.316358E+05             3.937177E+03             1.878928E-05             1.006411E+03             2.677212E-02             5.309141E-08             0.000000E+00             0.000000E+00
                   3.6000             5.029743E-08             9.036855E+01             3.052840E+02             3.496869E+05             1.031479E+00             4.316400E+05             3.937206E+03             1.878948E-05             1.006411E+03             2.677242E-02             5.307722E-08             0.000000E+00             0.000000E+00
                   3.7800             5.028532E-08             9.036304E+01             3.052883E+02             3.496932E+05             1.031402E+00             4.316442E+05             3.937238E+03             1.878968E-05             1.006411E+03             2.677273E-02             5.306117E-08             0.000000E+00             0.000000E+00
                   3.9600             5.027195E-08             9.035690E+01             3.052926E+02             3.496998E+05             1.031317E+00             4.316486E+05             3.937271E+03             1.878988E-05             1.006411E+03             2.677305E-02             5.304350E-08             0.000000E+00             0.000000E+00
                   4.1400             5.025752E-08             9.035021E+01             3.052970E+02             3.497068E+05             1.031226E+00             4.316531E+05             3.937307E+03             1.879009E-05             1.006411E+03             2.677337E-02             5.302443E-08             0.000000E+00             0.000000E+00
                   4.3200             5.024219E-08             9.034306E+01             3.053015E+02             3.497141E+05             1.031129E+00             4.316576E+05             3.937345E+03             1.879031E-05             1.006411E+03             2.677370E-02             5.300420E-08             0.000000E+00             0.000000E+00
                   4.5000             5.022615E-08             9.033553E+01             3.053060E+02             3.497216E+05             1.031028E+00             4.316622E+05             3.937384E+03             1.879052E-05             1.006411E+03             2.677404E-02             5.298302E-08             0.000000E+00             0.000000E+00
                   4.6800             5.020957E-08             9.032771E+01             3.053106E+02             3.497293E+05             1.030923E+00             4.316668E+05             3.937424E+03             1.879074E-05             1.006412E+03             2.677437E-02             5.296115E-08             0.000000E+00             0.000000E+00
