                   Degree               Volume[m3]            Pressure[kPa]           Temperature[K]        Int. Energy[J/kg]           Density[kg/m3]           Enthalpy[J/kg]          Entropy[J/kg.K]  Dyn. Viscosity[N.s/m^2]       Spec. Heat[J/kg.K]     Therm. Cond[W/(m.K)]                 Mass[kg]    Valve Deflec. mid[mm]    Valve Deflec. tip[mm]
                   0.0000             5.000000E-08             1.006220E+02             3.051723E+02             3.439262E+05             1.148966E+00             4.315051E+05             3.905921E+03             1.872669E-05             1.006562E+03             2.722195E-02             5.744830E-08             0.000000E+00             0.000000E+00
                   0.1800             5.005066E-08             1.048970E+02             3.080796E+02             3.436626E+05             1.186462E+00             4.344225E+05             3.903495E+03             1.892498E-05             1.006746E+03             2.698302E-02             5.887129E-08             0.000000E+00             0.000000E+00
                   0.3600             5.009648E-08             1.048962E+02             3.087485E+02             3.441387E+05             1.183875E+00             4.350960E+05             3.905681E+03             1.895684E-05             1.006775E+03             2.703225E-02             5.879589E-08             0.000000E+00             0.000000E+00
                   0.5400             5.013763E-08             1.048940E+02             3.091997E+02             3.444608E+05             1.182119E+00             4.355502E+05             3.907158E+03             1.897831E-05             1.006794E+03             2.706544E-02             5.875656E-08             0.000000E+00             0.000000E+00
                   0.7200             5.017429E-08             1.048912E+02             3.095041E+02             3.446789E+05             1.180923E+00             4.358566E+05             3.908156E+03             1.899278E-05             1.006807E+03             2.708782E-02             5.873998E-08             0.000000E+00             0.000000E+00
                   0.9000             5.020665E-08             1.048883E+02             3.097096E+02             3.448271E+05             1.180103E+00             4.360636E+05             3.908832E+03             1.900255E-05             1.006816E+03             2.710293E-02             5.873722E-08             0.000000E+00             0.000000E+00
                   1.0800             5.023489E-08             1.048853E+02             3.098489E+02             3.449281E+05             1.179539E+00             4.362039E+05             3.909293E+03             1.900918E-05             1.006822E+03             2.711316E-02             5.874234E-08             0.000000E+00             0.000000E+00
                   1.2600             5.025918E-08             1.048827E+02             3.099440E+02             3.449975E+05             1.179146E+00             4.362995E+05             3.909609E+03             1.901369E-05             1.006826E+03             2.712014E-02             5.875145E-08             0.000000E+00             0.000000E+00
                   1.4400             5.027970E-08             1.048803E+02             3.100094E+02             3.450457E+05             1.178870E+00             4.363654E+05             3.909828E+03             1.901680E-05             1.006829E+03             2.712495E-02             5.876196E-08             0.000000E+00             0.000000E+00
                   1.6200             5.029663E-08             1.048784E+02             3.100551E+02             3.450796E+05             1.178675E+00             4.364114E+05             3.909982E+03             1.901897E-05             1.006831E+03             2.712831E-02             5.877223E-08             0.000000E+00             0.000000E+00
                   1.8000             5.031015E-08             1.048770E+02             3.100877E+02             3.451040E+05             1.178534E+00             4.364443E+05             3.910092E+03             1.902052E-05             1.006833E+03             2.713070E-02             5.878121E-08             0.000000E+00             0.000000E+00
                   1.9800             5.032045E-08             1.048759E+02             3.101117E+02             3.451221E+05             1.178431E+00             4.364684E+05             3.910172E+03             1.902166E-05             1.006834E+03             2.713247E-02             5.878827E-08             0.000000E+00             0.000000E+00
                   2.1600             5.032769E-08             1.048754E+02             3.101301E+02             3.451358E+05             1.178354E+00             4.364870E+05             3.910234E+03             1.902254E-05             1.006834E+03             2.713382E-02             5.879303E-08             0.000000E+00             0.000000E+00
                   2.3400             5.033207E-08             1.048752E+02             3.101448E+02             3.451467E+05             1.178297E+00             4.365018E+05             3.910282E+03             1.902324E-05             1.006835E+03             2.713490E-02             5.879533E-08             0.000000E+00             0.000000E+00
                   2.5200             5.033375E-08             1.048755E+02             3.101573E+02             3.451557E+05             1.178253E+00             4.365143E+05             3.910321E+03             1.902383E-05             1.006836E+03             2.713582E-02             5.879511E-08             0.000000E+00             0.000000E+00
                   2.7000             5.033292E-08             1.048762E+02             3.101683E+02             3.451635E+05             1.178218E+00             4.365254E+05             3.910355E+03             1.902435E-05             1.006836E+03             2.713663E-02             5.879240E-08             0.000000E+00             0.000000E+00
                   2.8800             5.032977E-08             1.048772E+02             3.101785E+02             3.451705E+05             1.178191E+00             4.365357E+05             3.910386E+03             1.902484E-05             1.006837E+03             2.713737E-02             5.878729E-08             0.000000E+00             0.000000E+00
                   3.0600             5.032446E-08             1.048786E+02             3.101882E+02             3.451769E+05             1.178170E+00             4.365454E+05             3.910413E+03             1.902530E-05             1.006837E+03             2.713809E-02             5.877990E-08             0.000000E+00             0.000000E+00
                   3.2400             5.031718E-08             1.048803E+02             3.101977E+02             3.451830E+05             1.178153E+00             4.365550E+05             3.910440E+03             1.902575E-05             1.006838E+03             2.713879E-02             5.877038E-08             0.000000E+00             0.000000E+00
                   3.4200             5.030811E-08             1.048823E+02             3.102072E+02             3.451889E+05             1.178139E+00             4.365646E+05             3.910465E+03             1.902620E-05             1.006838E+03             2.713948E-02             5.875891E-08             0.000000E+00             0.000000E+00
                   3.6000             5.029743E-08             1.048845E+02             3.102167E+02             3.451947E+05             1.178128E+00             4.365741E+05             3.910490E+03             1.902665E-05             1.006838E+03             2.714018E-02             5.874565E-08             0.000000E+00             0.000000E+00
                   3.7800             5.028532E-08             1.048870E+02             3.102263E+02             3.452003E+05             1.178119E+00             4.365838E+05             3.910514E+03             1.902711E-05             1.006839E+03             2.714089E-02             5.873080E-08             0.000000E+00             0.000000E+00
                   3.9600             5.027195E-08             1.048896E+02             3.102360E+02             3.452060E+05             1.178111E+00             4.365936E+05             3.910538E+03             1.902757E-05             1.006839E+03             2.714161E-02             5.871455E-08             0.000000E+00             0.000000E+00
                   4.1400             5.025752E-08             1.048925E+02             3.102459E+02             3.452116E+05             1.178106E+00             4.366035E+05             3.910563E+03             1.902804E-05             1.006840E+03             2.714233E-02             5.869709E-08             0.000000E+00             0.000000E+00
                   4.3200             5.024219E-08             1.048954E+02             3.102559E+02             3.452173E+05             1.178101E+00             4.366135E+05             3.910587E+03             1.902851E-05             1.006840E+03             2.714307E-02             5.867862E-08             0.000000E+00             0.000000E+00
                   4.5000             5.022615E-08             1.048985E+02             3.102660E+02             3.452229E+05             1.178097E+00             4.366237E+05             3.910611E+03             1.902899E-05             1.006841E+03             2.714381E-02             5.865933E-08             0.000000E+00             0.000000E+00
                   4.6800             5.020957E-08             1.049016E+02             3.102761E+02             3.452286E+05             1.178093E+00             4.366339E+05             3.910636E+03             1.902948E-05             1.006841E+03             2.714456E-02             5.863944E-08             0.000000E+00             0.000000E+00
                   4.8600             5.019265E-08             1.049047E+02             3.102864E+02             3.452342E+05             1.178089E+00             4.366442E+05             3.910660E+03             1.902996E-05             1.006842E+03             2.714531E-02             5.861914E-08             0.000000E+00             0.000000E+00
                   5.0400             5.017555E-08             1.049079E+02             3.102966E+02             3.452399E+05             1.178086E+00             4.366545E+05             3.910685E+03             1.903045E-05             1.006842E+03             2.714606E-02             5.859863E-08             0.000000E+00             0.000000E+00
                   5.2200             5.015845E-08             1.049110E+02             3.103069E+02             3.452455E+05             1.178082E+00             4.366649E+05             3.910710E+03             1.903094E-05             1.006843E+03             2.714682E-02             5.857812E-08             0.000000E+00             0.000000E+00
                   5.4000             5.014155E-08             1.049141E+02             3.103171E+02             3.452511E+05             1.178078E+00             4.366752E+05             3.910734E+03             1.903143E-05             1.006843E+03             2.714757E-02             5.855780E-08             0.000000E+00             0.000000E+00
