                   Degree               Volume[m3]            Pressure[kPa]           Temperature[K]        Int. Energy[J/kg]           Density[kg/m3]           Enthalpy[J/kg]          Entropy[J/kg.K]  Dyn. Viscosity[N.s/m^2]       Spec. Heat[J/kg.K]     Therm. Cond[W/(m.K)]                 Mass[kg]    Valve Deflec. mid[mm]    Valve Deflec. tip[mm]
                   0.0000             5.000000E-08             1.007757E+02             3.039661E+02             3.430586E+05             1.155300E+00             4.302906E+05             3.901496E+03             1.867284E-05             1.006516E+03             2.714237E-02             5.776500E-08             0.000000E+00             0.000000E+00
                   0.1800             5.005066E-08             1.106867E+02             3.123623E+02             3.435769E+05             1.234754E+00             4.387225E+05             3.901939E+03             1.912924E-05             1.007018E+03             2.729937E-02             6.060760E-08             0.000000E+00             0.000000E+00
                   0.3600             5.009648E-08             1.107126E+02             3.143560E+02             3.449549E+05             1.227192E+00             4.407302E+05             3.908279E+03             1.922355E-05             1.007110E+03             2.744533E-02             6.028136E-08             0.000000E+00             0.000000E+00
                   0.5400             5.013763E-08             1.107131E+02             3.151280E+02             3.454941E+05             1.224183E+00             4.415077E+05             3.910748E+03             1.926000E-05             1.007147E+03             2.750177E-02             6.018016E-08             0.000000E+00             0.000000E+00
                   0.7200             5.017429E-08             1.107048E+02             3.154179E+02             3.457016E+05             1.222962E+00             4.417997E+05             3.911696E+03             1.927368E-05             1.007160E+03             2.752296E-02             6.016405E-08             0.000000E+00             0.000000E+00
                   0.9000             5.020665E-08             1.106940E+02             3.155206E+02             3.457797E+05             1.222445E+00             4.419031E+05             3.912051E+03             1.927852E-05             1.007165E+03             2.753045E-02             6.017827E-08             0.000000E+00             0.000000E+00
                   1.0800             5.023489E-08             1.106834E+02             3.155516E+02             3.458076E+05             1.222207E+00             4.419343E+05             3.912178E+03             1.927998E-05             1.007167E+03             2.753271E-02             6.020155E-08             0.000000E+00             0.000000E+00
                   1.2600             5.025918E-08             1.106738E+02             3.155558E+02             3.458163E+05             1.222085E+00             4.419386E+05             3.912216E+03             1.928018E-05             1.007167E+03             2.753302E-02             6.022576E-08             0.000000E+00             0.000000E+00
                   1.4400             5.027970E-08             1.106655E+02             3.155509E+02             3.458177E+05             1.222013E+00             4.419337E+05             3.912222E+03             1.927994E-05             1.007166E+03             2.753265E-02             6.024783E-08             0.000000E+00             0.000000E+00
                   1.6200             5.029663E-08             1.106588E+02             3.155435E+02             3.458166E+05             1.221967E+00             4.419262E+05             3.912216E+03             1.927959E-05             1.007166E+03             2.753211E-02             6.026669E-08             0.000000E+00             0.000000E+00
                   1.8000             5.031015E-08             1.106534E+02             3.155362E+02             3.458148E+05             1.221935E+00             4.419189E+05             3.912207E+03             1.927925E-05             1.007165E+03             2.753158E-02             6.028205E-08             0.000000E+00             0.000000E+00
                   1.9800             5.032045E-08             1.106493E+02             3.155300E+02             3.458130E+05             1.221915E+00             4.419127E+05             3.912198E+03             1.927896E-05             1.007165E+03             2.753113E-02             6.029391E-08             0.000000E+00             0.000000E+00
                   2.1600             5.032769E-08             1.106466E+02             3.155252E+02             3.458115E+05             1.221903E+00             4.419079E+05             3.912189E+03             1.927873E-05             1.007165E+03             2.753077E-02             6.030240E-08             0.000000E+00             0.000000E+00
                   2.3400             5.033207E-08             1.106450E+02             3.155219E+02             3.458102E+05             1.221898E+00             4.419045E+05             3.912183E+03             1.927857E-05             1.007165E+03             2.753053E-02             6.030768E-08             0.000000E+00             0.000000E+00
